"Contemporary Bluegrass","181.FM - Smooth AC","http://108.61.73.120:8094"
"Contemporary Folk","181.FM - Smooth AC","http://108.61.73.115:8094"
"90s","181.FM - Star 90's","http://108.61.73.120:8012"
"Hip Hop","181.FM - The BEAT * #1 For HipHop and R&B","http://108.61.73.115:8054"
"Oldies","181.FM - The Beatles Channel","http://108.61.73.119:8062"
"Oldies","181.FM - The Beatles Channel","http://108.61.73.115:8062"
"Oldies","181.FM - The Beatles Channel","http://108.61.73.117:8062"
"Rap Metal","181.FM - The BOX - #1 For Hip-Hop","http://108.61.73.118:8024"
"Smooth Jazz","181.fm - The Breeze","http://108.61.73.115:8004"
"Rock & Roll","181.FM - The Buzz (Your Alternative Station!)","http://108.61.73.120:8126"
"Americana","181.FM - The FrontPorch * Bluegrass From The FrontPorch","http://108.61.73.115:8016"
"Love and Romance","181.fm - The Heart (All Love Songs)","http://108.61.73.115:8006"
"Adult Alternative","181.fm - The Mix Channel (70s, 80s, 90s and Today's Best Music)","http://108.61.73.119:8032"
"Adult Alternative","181.fm - The Mix Channel (70s, 80s, 90s and Today's Best Music)","http://108.61.73.117:8032"
"Adult Contemporary","181.fm - The Mix Channel (70s, 80s, 90s and Today's Best Music)","http://108.61.73.115:8032"
"Adult","181.fm - The Mix Channel (70s, 80s, 90s and Today's Best Music)","http://108.61.73.120:8032"
"Hip Hop","181.fm - True R&B","http://108.61.73.115:8022"
"House","1Dance.FM - Today's Dance Hits","http://173.192.207.51:8062"
"Postaway","1PostawayRadio","http://streaming202.radionomy.com:80/1-PostawayRadio"
"Breakbeat","24/7 Drums.ro - Drum&Bass Online Radio Station","http://62.75.230.142:8000"
"Breakbeat","24x7 Live Shows-NSBRadio.co.uk. The worlds biggest breaks & breakbeat radio station - NSB Radio","http://65.23.157.233:7904"
"Club","2MClub","http://streaming202.radionomy.com:80/2MClub"
"80s","35x80","http://178.32.62.154:9736/stream"
"Country alternative 70s","40s50s4fun","http://40s50s4fun.com:8000/low"
"Rock","48fm Mende","http://37.59.45.148:8000/48fmmende"
"Mixtapes","4th Room Radio","http://85.214.210.12:9500"
"Country sports bluegras","610 AM wXva","http://stream.wxva.com:8000/live"
"Japanese","70s-90s J-pop Stream","http://198.178.123.14:7002"
"Alternative","88vier - Kreatives Radio fuer Berlin","http://ice.rosebud-media.de:8000/88vier-low"
"8bit","8bit.fm (1chan)","http://8bit.fm:8000/main"
"Classical","90.5 Classical from WKAR","http://mozart.wkar.msu.edu:80/wkar-fm-mp3"
"Spoken Word","91.5 Kingdom FM","http://205.234.238.42:5090"
"Various","93.7 Express FM","http://london-ics01.broadcast.meteoric.net:80/expressfm"
"Rock","95.1 The Best Mix","http://metis.guardian.co.tt:8000/951thebestmix"
"Eclectic","975 Pirate Radio","http://74.55.244.98:5110"
"Baroque","A.1.ONE.BAROQUE","http://streaming208.radionomy.com:80/A1ONEBAROQUE"
"00s","A.RADIO00sJUICE","http://streaming208.radionomy.com:80/A-RADIO-00s-JUICE"
"80s","A.RADIO80sJUICE","http://streaming208.radionomy.com:80/A-RADIO-80s-JUICE"
"90s","A.RADIO90sJUICE","http://streaming208.radionomy.com:80/A-RADIO-90s-JUICE"
"90s","A11-Radio-Dreams90s","http://streaming207.radionomy.com:80/A11-Radio-Dreams-90s"
"Demo","aacPlus Guatemala","http://198.105.218.124:9000"
"Various","Aakashvani","http://metis.guardian.co.tt:8000/aakashvaniradio"
"Hits","ABCDGoldHits","http://streaming208.radionomy.com:80/ABCDGoldHits"
"100","ABCRap","http://streaming208.radionomy.com:80/ABC-Rap"
"40s","ABetter40sWartimeMusicStation","http://streaming207.radionomy.com:80/A-Better-40s-Wartime-Music-Station"
"70s","ABetter70sGoldHitsStation","http://streaming202.radionomy.com:80/A-Better-70s-Gold-Hits-Station"
"Christian","Abiding Radio - Instrumental","http://server.abidingradio.org:7824/2_autodj"
"Christian","Abiding Radio - Kids","http://server.abidingradio.org:7842/1_autodj"
"Christian","Abiding Radio - Sacred","http://server.abidingradio.org:7840/2_autodj"
"Christian","Abiding Radio - Seasonal","http://server.abidingradio.org:7844/1_autodj"
"Goth","Abnormally Dead Air - Radio From The Grave","http://199.101.51.168:8006"
"Electro","AbsoluteIbiza","http://streaming202.radionomy.com:80/Absolute-Ibiza"
"Love","AbsolutelyLove","http://streaming208.radionomy.com:80/Absolutely-Love"
"House","Accent by Vmix.fm","http://live4.vmix.fm:80/acc.mp3"
"Hits80","Addict80s","http://streaming202.radionomy.com:80/Addict80s"
"Cajun and Zydeco","'AddictedToRadio.com - Cajun Fest'","http://208.77.21.15:11310"
"Cajun and Zydeco","'AddictedToRadio.com - Cajun Fest AAC'","http://208.77.21.15:11330"
"Freestyle","'AddictedToRadio.com - Freestyle Channel'","http://208.77.21.13:14710"
"Freestyle","'AddictedToRadio.com - Freestyle Channel'","http://208.77.21.13:14730"
"Best Of","'AddictedToRadio.com - Latino Caliente'","http://208.77.21.13:16910"
"Best Of","'AddictedToRadio.com - Latino Caliente AAC'","http://208.77.21.13:16930"
"Merengue","'AddictedToRadio.com - Merengue AAC'","http://208.77.21.13:17030"
"Reggaeton","'AddictedToRadio.com - Reggaeton'","http://208.77.21.13:17210"
"Reggaeton","'AddictedToRadio.com - Reggaeton AAC'","http://208.77.21.13:17230"
"Hot Country Hits","'AddictedToRadio.com - Today's Mix 106 Hot AC Hits AAC'","http://208.77.21.15:9630"
"Urban","A-DISCO-FM-WEB","http://streaming202.radionomy.com:80/A-DISCO-FM-WEB"
"Different","admiravel.net","http://streaming202.radionomy.com:80/admiravelnet"
"Gospel family christian","AdventFM","http://radio3.hnsystems.net:12264/live-stream64"
"Afghanradio","afghanradiostation","http://streaming207.radionomy.com:80/afghan-radio--station"
"Talk progressive news","Air Progressive","http://airprogressive.org:8000/stream"
"Video game","AI-Radio.org - MP3 - video game music - A.I. radio","http://ai-radio.org:8000/radio.mp3"
"Video game","AI-Radio.org - OGG - HQ sound - video game music - A.I. Radio","http://ai-radio.org:8000/radio.ogg"
"Jazz","A-JAZZ-FM-WEB","http://streaming202.radionomy.com:80/A-JAZZ-FM-WEB"
"Rock","akouna","http://streaming202.radionomy.com:80/akouna"
"Other Talk","Alex and Ani +Energy","http://69.175.94.98:8035"
"Political","Alex Jones - Infowars.com","http://50.7.79.22:80"
"Political","Alex Jones - Infowars.com","http://50.7.130.107:80"
"News","Alex Jones - Infowars.com","http://50.7.130.98:80"
"News","Alex Jones - Infowars.com","http://50.7.79.94:80"
"News","Alex Jones - Infowars.com","http://50.7.79.84:80"
"News","Alex Jones - Infowars.com","http://50.7.130.118:80"
"Pop","Alfa Juleradio","http://netradio.radioalfa.dk:80/alfajul"
"Ufo","aliens-radio","http://streaming208.radionomy.com:80/aliens-radio"
"Southern Gospel","All Southern Gospel Radio","http://199.180.72.30:8000"
"Southern Gospel","All Southern Gospel Radio","http://199.180.72.31:8000"
"Gospel","All Southern Gospel Radio","http://199.180.72.29:8000"
"German","All4Fun Radio - Schlager - NDW - Deutsch - Party - www.all4funradio.de","http://46.163.108.110:30730"
"All80s","all80s","http://streaming207.radionomy.com:80/all80s"
"Islamic","Allahu Akbar Radio","http://66.45.232.132:9996"
"Classique","Allegro","http://streaming208.radionomy.com:80/Allegro"
"Classical","Allegro Musics","http://airtime.allegromusics.com:8000/radio"
"Hits","ALLEZ_FOUTE_AMBIANCE!!!!","http://streaming208.radionomy.com:80/ALLEZ-FOUTE-AMBIANCE"
"Rock","AllHardRock-Q101.com","http://streaming202.radionomy.com:80/AllHardRock-Q101com"
"Retro","AllStars70&#039;s","http://streaming207.radionomy.com:80/All-Stars-70-s"
"Hawaiian and Pacific","Aloha Joe\&#039;s Hawaiian Christmas Radio","http://198.178.123.23:8322"
"Rock","Alternativa21","http://streaming207.radionomy.com:80/alternativa-21"
"Rock alternative pop 80","Alternative Broadcast Technology","http://xymox.dyndns.org:5000/shout"
"Alternative Folk","Alternative Rock X Radio (1.FM TM)","http://205.164.36.9:80"
"Alternative Rap","Alternative Rock X Radio (1.FM TM)","http://205.164.35.9:80"
"Radio associative","Alto","http://live.francra.org:8000/Radio-Alto"
"Talk radio old time","AM 1710 Antioch OTR, Scheduled Old-time radio sub-genres and preferring today&#039;s date","http://lin2.ash.fast-serv.com:9022/listen"
"Periodistica radio","AM810 - El Espectador","http://streaming.espectador.com:80/envivo"
"News healthcare talk","Americas Healthcare Advocate - High Bitrate","http://64.62.208.66:80/americasHealthcareadvocate-hi.mp3"
"Finance events talk spi","Amerika Now - High Bitrate","http://64.62.208.66:80/amerikaNow-hi.mp3"
"World talk events spiri","Amerika Now - Low Bitrate","http://64.62.208.66:80/amerikaNow-lo.mp3"
"Radio","AmorconSalsa","http://streaming208.radionomy.com:80/Amor-con-Salsa"
"Radio public","AmsterdamFM","http://uplink.intronic.nl:80/amsterdamfm"
"Scanner","Anchorage Alaska Air Traffic Control - PANC","http://brown.netexpress.com:8010/PANC"
"Anime","AnimeNfo Radio   Serving you the best Anime and Doujin music!","http://69.60.255.236:8080"
"Génériques","Animusique","http://streaming202.radionomy.com:80/Animusique"
"Folk Rock","Antena Krusevac 4560","http://94.23.38.225:4560"
"00s","Antena Zagreb 2000s","http://173.192.137.34:8068"
"Rock","ANTENNE VORARLBERG - Classic Rock","http://webradio.antennevorarlberg.at:80/classicrock"
"80s","ANTENNE VORARLBERG - Die 80er","http://webradio.antennevorarlberg.at:80/80er"
"90s","ANTENNE VORARLBERG - Die 90er","http://webradio.antennevorarlberg.at:80/90er"
"Top40","ANTENNE VORARLBERG - Hits","http://webradio.antennevorarlberg.at:80/hits"
"Lounge","ANTENNE VORARLBERG - Lounge","http://webradio.antennevorarlberg.at:80/lounge"
"Pop","ANTENNE VORARLBERG - Lovesongs","http://webradio.antennevorarlberg.at:80/lovesongs"
"70s","ANTENNE VORARLBERG - Oldies","http://webradio.antennevorarlberg.at:80/oldies"
"Top40","ANTENNE VORARLBERG - Partymix","http://webradio.antennevorarlberg.at:80/partymix"
"Schlager","ANTENNE VORARLBERG - Schlagerkult","http://webradio.antennevorarlberg.at:80/schlagerkult"
"Various","ANTENNE VORARLBERG - Spezial","http://webradio.antennevorarlberg.at:80/spezial"
"Pop","ANTENNE VORARLBERG HD","http://webradio.antennevorarlberg.at:80/live"
"Rock","Anwa-rock","http://streaming208.radionomy.com:80/Anwa-rock"
"Anime","any-anime.ru","http://animeradio.ru:8000/any-anime.ru"
"Nederland","AnZoFM","http://streaming208.radionomy.com:80/anzofm"
"Hits","AQUARADIOONLINE","http://streaming208.radionomy.com:80/AQUA-RADIO-ONLINE"
"Arabic","arabicmood","http://streaming207.radionomy.com:80/arabicmood"
"Reggae","ARMAGEDDEONMUSIK","http://50.7.71.219:7756"
"Hop hip","Arsonists Radio - WASF","http://ic269.c715.fast-serv.com:80/stream.mp3"
"Other Talk","ARTxFM Broadcast","http://67.228.150.175:8310"
"80s","Atlantis.fm80s","http://streaming208.radionomy.com:80/atlantisfm-80s"
"Great","atlantisfmuk","http://streaming202.radionomy.com:80/atlantisfmuk"
"Breaks","Atm.Fm","http://station-sound.ru:8000/atmfm"
"Indie","Atmosphericfm","http://streaming202.radionomy.com:80/Atmospheric-fm"
"Techno spokenword minim","Audioasyl","http://stream.audioasyl.net:80/audioasyl"
"Talk recreation news au","Auto World - High Bitrate","http://64.62.208.66:80/autoWorld-hi.mp3"
"Travel talk recreation ","Auto World - Low Bitrate","http://64.62.208.66:80/autoWorld-lo.mp3"
"Talk","Auto World AM - Low Bitrate","http://64.62.208.66:80/autoAm-lo.mp3"
"Singer and Songwriter","AutoDJ KaraokeHeaven","http://173.236.29.51:8230"
"Demo","AutoDJ Midia Agitos","http://198.24.165.180:7284"
"Ay","AY music","http://8bit.fm:8000/ay"
"Disco","AYNradio","http://streaming208.radionomy.com:80/AYN-radio"
"100","AzurFRENCH","http://streaming208.radionomy.com:80/Azur-FRENCH"
"Old","BanhaCityTarab","http://streaming207.radionomy.com:80/BanhaCityTarab"
"Hungary classical ebu","Bartók Rádió (mp3)","http://stream002.radio.hu:80/mr3.mp3"
"Ebu hungary classical","Bartók Rádió HQ (aac+)","http://stream002.radio.hu:80/mr3hq.aac"
"Classical hungary ebu","Bartók Rádió HQ (mp3)","http://stream002.radio.hu:80/mr3hq.mp3"
"Drum and Bass","Bassdrive - Worldwide Drum and Bass Radio","http://50.7.98.106:8398"
"Drum and Bass","Bassdrive - Worldwide Drum and Bass Radio","http://50.7.70.58:8200"
"Live kicknbase dance gr","Basspistol Radio","http://basspistol.com:8000/radio.ogg"
"Volksmusik","Bayerwaldradio","http://80.73.98.131:8000/bayerwaldradio"
"Extreme Metal","BDSM BDSMradio.EU 2","http://178.20.171.116:80"
"Sermons and Services","Because You Love the Truth... First Amendment Radio.com","http://198.178.123.8:7862"
"Jazz","beejazzy","http://streaming208.radionomy.com:80/beejazzy"
"College","Bellarmine Radio","http://stream.bellarmineradio.com:8000/low"
"Electric Blues","BellyUp4Blues - The Only Ass Kicking Blues Rocker","http://72.13.82.82:5100"
"Best80dance","best80dance","http://streaming202.radionomy.com:80/best80dance"
"Various","BestFM","http://stream2.bestfm.sk:80/64.mp3"
"Religion","Bibelradio","http://rs1.stream24.org:8690/stream"
"Zydeco cajun","Bienvenue en Louisiane","http://lin2.san.fast-serv.com:6004/stream"
"JPOP","Big B Radio - KPOP  The Hot Station for Asian Music","http://184.95.62.170:9012"
"Jazz swing blues big ba","Big Blue Swing.com","http://radio.BigBlueSwing.com:8000/bigblueswing-64.mp3"
"Big Band","Big Blue Swing.com-64Kbit: Playing music for  Lindy Hop,  Charleston,  Balboa,  Swing, and  Blues","http://209.236.126.18:8002"
"Dancepunk","Biker Radio","http://173.236.41.19:80"
"Metal","BlackDiamondRadio","http://streaming202.radionomy.com:80/Black-Diamond-Radio"
"Indie","Bleh","http://streaming208.radionomy.com:80/Bleh"
"Chicago Blues","BlueThunderRadio","http://65.60.19.42:8040"
"Out chill","BlueZoneBolz","http://streaming207.radionomy.com:80/Blue-Zone-Bolz"
"Afrikaans","Boervolk Radio vanuit BOERLAND www.boervolkradio.co.za Kempton Park","http://109.123.116.202:8018"
"Afrikaans","Bok Radio (powered by radiostream.co.za)","http://69.175.106.18:9104"
"Webradio","boleroradio","http://streaming208.radionomy.com:80/boleroradio"
"Drum bass","Boosh FM","http://stream.boosh.fm:8000/booshfm_128.mp3"
"Scanner","Bote&#039;s Mixer Board - trackstreamer.com","http://colostreaming.com:8000/botemixer"
"Scanner marine fire ems","Bote&#039;s Southernmost Feed - trackstreamer.com","http://colostreaming.com:8000/botekyw"
"Police fire scanner ems","Bote&#039;s Wild Feed - trackstreamer.com","http://colostreaming.com:8000/botewild"
"Pop","BRFM 95.6 FM","http://live.brfm.net:8000/BrfmMP3"
"British Invasion","british hits radio live uks hit music station top 40 dance pop hardstyle","http://176.31.248.14:15574"
"Techno","Burst Radio","http://icecast.burstradio.net:8000/burst.mp3"
"Old School","Bygolly Old Time Radio","http://50.22.223.16:8608"
"Sid","C64.COM","http://C64.COM:8000/"
"Spirituality society ch","Call To Decision - High Bitrate","http://64.62.208.66:80/callDecision-hi.mp3"
"Various","Calvary Net Radio","http://50.22.253.46:80/calvarynetmp3"
"Sevillanas","CanalSevillanas","http://streaming207.radionomy.com:80/Canal-Sevillanas"
"Oldies seniors","Capital 101.7DAB+ (Digital) - Perth&#039;s Radio for Seniors (Western Australia) - &quot;The Golden Years of Radio&quot;","http://ic2489.c1788.fast-serv.com:80/stream"
"Ska","Carifun Lovers Reggae Roots Stream","http://69.4.225.73:8070"
"Scanner","Central Coast Online Scanner - Audio Stream","http://stream.centralcoastonlinescanner.com:8000/stream"
"Scanner","Central Coast Online Scanner - Hornsby Stream","http://stream.centralcoastonlinescanner.com:8000/hornsby"
"Scanner","Central Coast Online Scanner - RFS Stream","http://stream.centralcoastonlinescanner.com:8000/rfs"
"Rock pop oldies","Central FM Pulheim","http://www.radiobrauweiler.de:8000/live"
"Hot Country Hits","CFRM FM 100.7 Manitoulin Island","http://209.91.128.119:8101"
"Various","Charivari Hitmix","http://rs5.stream24.net:8000/stream"
"Dance Pop","ChartHits.FM - Top 40 Radio - Mega Hot Music!","http://95.141.24.41:80"
"Dance","ChartHits.FM - Top 40 Radio - Mega Hot Music!","http://193.34.51.49:80"
"Ambient","CHILLOUT LOUNGE RADIO (1.FM TM)","http://205.164.36.5:80"
"Hits","CHOCOLATRADIOGOLD","http://streaming208.radionomy.com:80/CHOCOLAT-RADIO-GOLD"
"Christmas","ChristmasHits  Your Christmas Radio Station  by Hitstation.fm","http://46.105.118.14:24500"
"Christian","ChroniclesChristianRadio","http://streaming207.radionomy.com:80/Chronicles-Christian-Radio"
"Speech","Cimrmanovo radio","http://liquiddoom.net:8000/cimrman"
"Radio campus community","CJSF 90.1 FM","http://www.cjsf.ca:8000/listen"
"Radio community campus","CJSF 90.1 FM (HQ)","http://www.cjsf.ca:8000/listen-hq"
"Rock electronica reggae","CJSW - University of Calgary Radio","http://stream.cjsw.com:80/cjsw-low.mp3"
"Music electronic","CKCU ELECTRO","http://icecast3.isiglobal.ca:80/ckcu.mp3"
"Big Band","Classic 960 KABL Radio - San Francisco","http://99.198.112.60:80"
"Dance","ClubbingStationRadio","http://streaming208.radionomy.com:80/Clubbing-Station-Radio"
"Ragga","CocoRadio - The Reggae Channel","http://50.7.53.6:80"
"Colombia","colombiavallenata","http://streaming208.radionomy.com:80/colombiavallenata"
"Comedy","Comedy","http://s2.stationplaylist.com:9150/comedy"
"Techno r dance b","Contact-Dance","http://uplink.intronic.nl:80/contactdance"
"Folk Rock","COOL radio - Beograd","http://176.9.30.66:80"
"Perigueux","Corail","http://streaming208.radionomy.com:80/Corail"
"Various","cotation or la radio","http://stream.100000000000000.com:8000/CPOR"
"Rock","Couleurs FM","http://live.francra.org:8000/CouleursFM"
"Country","CountryLineFM","http://streaming208.radionomy.com:80/Country-Line-FM"
"Christian","Covenant Radio","http://50.22.253.46:80/covenantradio2"
"Various","creative commons","http://stream.creativecommons.gr:8000/live0"
"News","CRo 1 - Radiozurnal","http://amp2.cesnet.cz:8000/z-cro1.ogg"
"News","CRo 2 - Praha","http://amp1.cesnet.cz:8000/z-cro2.ogg"
"Classical","CRo 3 - Vltava","http://amp2.cesnet.cz:8000/z-cro3.ogg"
"News","CRo Dvojka","http://amp2.cesnet.cz:8000/cro2.ogg"
"News","CRo Plus/Jazz","http://amp2.cesnet.cz:8000/cro-plus.ogg"
"News","CRo Radio Cesko","http://amp1.cesnet.cz:8000/z-cro-plus.ogg"
"Young","CRo Radio Wave","http://amp1.cesnet.cz:8000/z-cro-radio-wave.ogg"
"News","CRo Radiozurnal","http://amp2.cesnet.cz:8000/cro1.ogg"
"Classical","CRo Vltava","http://amp2.cesnet.cz:8000/cro3.ogg"
"Touvere c","C-touvere","http://streaming202.radionomy.com:80/C-touvere"
"Reggae","Cyprus Dub Community Radio","http://50.7.77.114:8479/autodj"
